Year,SSP3-7.0 Total (W/m²),SSP3-7.0 CO2 (W/m²),SSP3-7.0 CH4 (W/m²),SSP3-7.0 N2O (W/m²),SSP3-7.0 Minor GHG (W/m²),SSP3-7.0 O3 (W/m²),SSP3-7.0 Stratospheric H2O (W/m²),SSP3-7.0 Contrails (W/m²),SSP3-7.0 Aerosol Radiation (W/m²),SSP3-7.0 Aerosol Cloud (W/m²),SSP3-7.0 Snow (W/m²),SSP3-7.0 Land Use (W/m²),SSP3-7.0 Volcanic (W/m²),SSP3-7.0 Solar (W/m²),SSP3-7.0 Total Antropgenic (W/m²),SSP3-7.0 Total Natural (W/m²)
1750,0.29756832829343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999780663005404,0.0975902619928896,0.0,0.29756832829343
1751,0.2862662105098934,0.0014160691022487,0.000508281967061,7.397683113817112e-05,7.958009594387151e-10,0.0003,4.671855351490392e-05,0.0,0.0006008075764663,0.0046735470354437,-0.0003584587981324,-0.0002290738886122,0.1999903684045746,0.0792439729303896,0.0070318691749291,0.2792343413349643
1752,0.2614372315658101,0.0028318009627473,0.0010162567352663,0.0001479455644783,1.5916019188774301e-09,0.0006,9.340887095788596e-05,0.0,0.0012467754620438,0.0072813821194365,-0.0004827430894947,-0.0004581477772245,0.1999945078831076,0.0491660432428896,0.0122766804398128,0.2491605511259972
1753,0.2242357792210598,0.0042471957575695,0.0015239247974318,0.0002219062044972,2.387402878341742e-09,0.0009,0.0001400709976259,0.0,0.0005365216160033,0.0047417368645957,-0.0003725337690752,-0.0006872216658368,0.1999958915770182,0.0129882844538271,0.0112516031902144,0.2129841760308453
1754,0.1841779512630242,0.0056622536626548,0.0020312866450537,0.0002958587556644,3.183203837780457e-09,0.0012,0.0001867049786947,0.0,-0.0008746644225832,-0.0019997216629865,2.2776965064635963e-05,-0.0009162955544491,0.1999963568370048,-0.0214266081242978,0.0056082025503173,0.1785697487127069
1755,0.1395949331969072,0.0070769748538047,0.0025383427683148,0.0003698032224395,3.979004797219172e-09,0.0014999999999999,0.0002333108592193,0.0,0.0005845575643701,0.0012931266249123,2.022627807684875e-05,-0.0011453694430614,0.1730278839500614,-0.0459039274602353,0.0124709767070811,0.1271239564898261
1756,-0.1142364704088881,0.0084913595066792,0.0030450936560881,0.0004437396092752,4.774805756657887e-09,0.0018,0.0002798886841341,0.0,0.0001818164472722,0.0044712077055805,-0.0004167494094783,-0.0013744433316737,-0.077672575825711,-0.0534858122258603,0.0169219176426831,-0.1311583880515713
1757,0.042486723726142,0.0099054077968045,0.0035515397959428,0.0005176679206144,5.570606716096601e-09,0.0021,0.0003264384982541,0.0,0.0004504815906451,-0.0054917730931735,0.00072317154025,-0.001603517220286,0.0663511946070317,-0.0343438932805478,0.0104794223996581,0.0320073013264838
1758,0.1861527799169499,0.011319119899568,0.0040576816741483,0.0005915881608937,6.366407675560915e-09,0.0024,0.0003729603462744,0.0,0.000463807824079,-0.0018302055149352,0.0003291104234123,-0.0018325911088983,0.1532680662202978,0.0170132356257021,0.0158714780709499,0.1702813018459999
1759,0.2682246585483623,0.0127324959902212,0.0045635197756793,0.0006655003345391,7.162208634999629e-09,0.0027,0.0004194542727713,0.0,-0.0001604380352949,-0.0026439087992624,0.0002808613731262,-0.0020616649975106,0.1842164991664947,0.0675123323053896,0.0164958270764779,0.2517288314718843
1760,0.3004665370808007,0.0141455362438733,0.0050690545842213,0.0007394044459695,7.958009594438344e-09,0.003,0.0004659203222027,0.0,-0.0014011841583781,-0.0067817096586318,0.0004328833719882,-0.0022907388861229,0.1946920959819668,0.0923952668757021,0.0133791742231317,0.2870873628576689
1761,0.3030813210763191,0.0155582408355038,0.0055742865821744,0.0008133004995963,8.753810553877059e-09,0.0032999999999999,0.0005123585389081,0.0,-5.095374527633925e-05,-0.005145192495454,0.0005758601196592,-0.0025198127747352,0.198214588745805,0.0862486360163271,0.0186180963141868,0.2844632247621322
1762,-0.7189536632056581,0.0169706099399518,0.0060792162506586,0.0008871884998217,9.549611513315776e-09,0.0036,0.0005587689671094,0.0,-0.0006703174534328,-0.0015733382294616,5.6325126092835765e-05,-0.0027488866633475,-0.8062714455214892,0.0641582063288271,0.0231595759870039,-0.742113239192662
1763,-0.4391274424260874,0.0183826437319171,0.0065838440695186,0.0009610684510395,1.0345412472780088e-08,0.0039,0.0006051516509116,0.0,-0.0004527748204484,-0.0018311099409854,0.0001325257681005,-0.0029779605519598,-0.4952505953099832,0.0308197541803896,0.0253033987035061,-0.4644308411295936
1764,-0.0167081250528876,0.0197943423859665,0.0070881705173281,0.0010349403576361,1.11412134322188e-08,0.0042,0.0006515066343024,0.0,0.0018337993411892,0.0080026838486772,-0.0003793862553079,-0.0032070344405721,-0.0497919322949603,-0.0059352262883603,0.039019033530433,-0.0557271585833207
1765,0.1063024166524382,0.0212057060765304,0.0075921960713951,0.0011088042239901,1.1937014391657516e-08,0.0045,0.0006978339611535,0.0,-0.0007064268459405,-0.0046034388867316,0.0003715949536947,-0.0034361083291844,0.1153513906773143,-0.0357791471867978,0.0267301731619217,0.0795722434905165
1766,-0.2191449410843917,0.0226167349778992,0.0080959212077662,0.0011826600544708,1.2732815351096231e-08,0.0048,0.0007441336752205,0.0,0.0008153172115782,0.000707444802855,0.0001811841441756,-0.0036651822177967,-0.2047254902131408,-0.0498976774602353,0.0354782265889844,-0.2546231676733761
1767,-0.261866534123459,0.0240274292642308,0.0085993464012314,0.00125650785344,1.3528616310534947e-08,0.0051,0.0007904058201437,0.0,0.0006560400890759,0.0001087707287077,0.0002100479312962,-0.003894256106409,-0.2620056572907444,-0.0367151823430478,0.0368543055103331,-0.2987208396337922
1768,0.0720760468816914,0.0254377891095469,0.0091024721253283,0.0013303476252524,1.4324417269999258e-08,0.0053999999999999,0.0008366504394479,0.0,-0.0006321814957534,-0.0123731149875222,0.0012296844820232,-0.0041233299950213,0.0264207882220202,0.0194469270319521,0.026208331627719,0.0458677152539723
1769,0.2602648880822827,0.0268478146877299,0.0096052988523479,0.0014041793742524,1.5120218229437974e-08,0.0056999999999999,0.0008828675765437,0.0,-0.0006154054738606,-0.0062287949000175,0.0005732371135928,-0.0043524038836336,0.1408546682081573,0.0855934114069521,0.0338168084671733,0.2264480796151094
1770,0.1869410166016664,0.0282575061725298,0.0101078270533375,0.0014780031047789,1.5916019188876692e-08,0.0059999999999999,0.0009290572747272,0.0,-0.0006107299163393,-0.0064965886986441,0.0005982093037169,-0.0045814777722459,0.033996593303709,0.1172626008600771,0.0356818224378802,0.1512591941637861
1771,0.2488941341664242,0.0296668637375598,0.0106100571981069,0.0015518188211618,1.6711820148315406e-08,0.0062999999999999,0.0009752195771809,0.0,0.000658387269737,0.0018238676586718,4.251337574801821e-05,-0.0048105516608582,0.0923640242109687,0.1097119172663271,0.0468181926891282,0.2020759414772959
1772,0.3013636033480311,0.0310758875562991,0.0111119897552318,0.0016256265277227,1.7507621107754117e-08,0.0065999999999999,0.0010213545269736,0.0,0.0013910462223561,0.0054718565143634,-0.0001570580993611,-0.0050396255494705,0.1614834524480926,0.0867790559382021,0.0531010949617363,0.2482625083862947
1773,0.2911214456180304,0.0324845778020876,0.0116136251920592,0.0016994262287755,1.830342206721843e-08,0.0068999999999999,0.0010674621670615,0.0,0.0009703985353353,0.0039420884209354,-7.513805420421784e-05,-0.0052686994380828,0.1869523805224385,0.0508353059382021,0.0533337591573897,0.2377876864606407
1774,0.2479967596005679,0.0338929346481338,0.0121149639747109,0.0017732179286267,1.9099223026657145e-08,0.0072,0.0011135425402878,0.0,-0.0008798428467746,-0.008238384744561,0.0008214833148874,-0.0054977733266951,0.1956100235432767,0.0100865754694521,0.042300160587839,0.2056965990127289
1775,0.2237451729155248,0.035300958267511,0.0126160065680892,0.0018470016315743,1.9895023986095863e-08,0.0075,0.0011595956893841,0.0,0.0008783451593963,-0.0034503185523167,0.0007362964570895,-0.0057268472153074,0.198522881342503,-0.0256387663274228,0.0508610579004445,0.1728841150150802
